Source,Target,Year
University Of Cincinnati,University Of Toledo,1999
Cleveland State University,Kent State University,1999
Cleveland State University,Ohio University,1999
Cleveland State University,University Of Akron,1999
Cleveland State University,University Of Cincinnati,1999
Cleveland State University,University Of Toledo,1999
Kent State University,Ohio University,1999
Kent State University,University Of Akron,1999
Kent State University,University Of Cincinnati,1999
Kent State University,University Of Toledo,1999
Ohio University,University Of Akron,1999
Ohio University,University Of Cincinnati,1999
Ohio University,University Of Toledo,1999
University Of Akron,University Of Cincinnati,1999
University Of Akron,University Of Toledo,1999
University Of Cincinnati,University Of Toledo,1999
Cleveland State University,Kent State University,1999
Cleveland State University,Ohio State University,1999
Cleveland State University,Ohio University,1999
Cleveland State University,University Of Akron,1999
Cleveland State University,University Of Cincinnati,1999
Cleveland State University,University Of Toledo,1999
Kent State University,Ohio State University,1999
Kent State University,Ohio University,1999
Kent State University,University Of Akron,1999
Kent State University,University Of Cincinnati,1999
Kent State University,University Of Toledo,1999
Ohio State University,Ohio University,1999
Ohio State University,University Of Akron,1999
Ohio State University,University Of Cincinnati,1999
Ohio State University,University Of Toledo,1999
Ohio University,University Of Akron,1999
Ohio University,University Of Cincinnati,1999
Ohio University,University Of Toledo,1999
University Of Akron,University Of Cincinnati,1999
University Of Akron,University Of Toledo,1999
University Of Cincinnati,University Of Toledo,1999
Cleveland State University,Kent State University,1999
Cleveland State University,Ohio University,1999
Cleveland State University,University Of Akron,1999
Cleveland State University,University Of Cincinnati,1999
Cleveland State University,University Of Toledo,1999
Kent State University,Ohio University,1999
Kent State University,University Of Akron,1999
Kent State University,University Of Cincinnati,1999
Kent State University,University Of Toledo,1999
Ohio University,University Of Akron,1999
Ohio University,University Of Cincinnati,1999
Ohio University,University Of Toledo,1999
University Of Akron,University Of Cincinnati,1999
University Of Akron,University Of Toledo,1999
University Of Cincinnati,University Of Toledo,1999
Cleveland State University,Kent State University,1999
Cleveland State University,Ohio State University,1999
Cleveland State University,Ohio University,1999
Cleveland State University,University Of Akron,1999
Cleveland State University,University Of Cincinnati,1999
Cleveland State University,University Of Toledo,1999
Kent State University,Ohio State University,1999
Kent State University,Ohio University,1999
Kent State University,University Of Akron,1999
Kent State University,University Of Cincinnati,1999
