Year,Canonical_Name,Fuzzy_Matches,Institution_1,Institution_2
2000,Gerald H Gordon,Gerald H Gordon,Cleveland State University,University Of Cincinnati
2000,Gerald H Gordon,Gerald H Gordon,Cleveland State University,University Of Toledo
2000,Gerald H Gordon,Gerald H Gordon,Kent State University,Ohio State University
2000,Gerald H Gordon,Gerald H Gordon,Kent State University,Ohio University
2000,Gerald H Gordon,Gerald H Gordon,Kent State University,University Of Akron
2000,Gerald H Gordon,Gerald H Gordon,Kent State University,University Of Cincinnati
2000,Gerald H Gordon,Gerald H Gordon,Kent State University,University Of Toledo
2000,Gerald H Gordon,Gerald H Gordon,Ohio State University,Ohio University
2000,Gerald H Gordon,Gerald H Gordon,Ohio State University,University Of Akron
2000,Gerald H Gordon,Gerald H Gordon,Ohio State University,University Of Cincinnati
2000,Gerald H Gordon,Gerald H Gordon,Ohio State University,University Of Toledo
2000,Gerald H Gordon,Gerald H Gordon,Ohio University,University Of Akron
2000,Gerald H Gordon,Gerald H Gordon,Ohio University,University Of Cincinnati
2000,Gerald H Gordon,Gerald H Gordon,Ohio University,University Of Toledo
2000,Gerald H Gordon,Gerald H Gordon,University Of Akron,University Of Cincinnati
2000,Gerald H Gordon,Gerald H Gordon,University Of Akron,University Of Toledo
2000,Gerald H Gordon,Gerald H Gordon,University Of Cincinnati,University Of Toledo
2000,Robert A Gardner,Robert A Gardner,Cleveland State University,Kent State University
2000,Robert A Gardner,Robert A Gardner,Cleveland State University,Ohio State University
2000,Robert A Gardner,Robert A Gardner,Cleveland State University,Ohio University
2000,Robert A Gardner,Robert A Gardner,Cleveland State University,University Of Akron
2000,Robert A Gardner,Robert A Gardner,Cleveland State University,University Of Cincinnati
2000,Robert A Gardner,Robert A Gardner,Cleveland State University,University Of Toledo
2000,Robert A Gardner,Robert A Gardner,Kent State University,Ohio State University
2000,Robert A Gardner,Robert A Gardner,Kent State University,Ohio University
2000,Robert A Gardner,Robert A Gardner,Kent State University,University Of Akron
2000,Robert A Gardner,Robert A Gardner,Kent State University,University Of Cincinnati
2000,Robert A Gardner,Robert A Gardner,Kent State University,University Of Toledo
2000,Robert A Gardner,Robert A Gardner,Ohio State University,Ohio University
2000,Robert A Gardner,Robert A Gardner,Ohio State University,University Of Akron
2000,Robert A Gardner,Robert A Gardner,Ohio State University,University Of Cincinnati
2000,Robert A Gardner,Robert A Gardner,Ohio State University,University Of Toledo
2000,Robert A Gardner,Robert A Gardner,Ohio University,University Of Akron
2000,Robert A Gardner,Robert A Gardner,Ohio University,University Of Cincinnati
2000,Robert A Gardner,Robert A Gardner,Ohio University,University Of Toledo
