Id,Source,Target,Type,Weight,Year,PersonName_Source,PersonName_Target
e194,Cleveland State University,University Of Cincinnati,Undirected,1,1999,J. Gilbert Reese,J. Gilbert Reese
e195,Cleveland State University,Kent State University,Undirected,1,1999,Ralph E. Schey,Ralph E. Schey
e196,Cleveland State University,Ohio University,Undirected,1,1999,Ralph E. Schey,Ralph E. Schey
e197,Cleveland State University,University Of Akron,Undirected,1,1999,Ralph E. Schey,Ralph E. Schey
e198,Cleveland State University,University Of Cincinnati,Undirected,1,1999,Ralph E. Schey,Ralph E. Schey
e199,New Jersey Institute Of Technology,Princeton University,Undirected,1,1999,The Hon. Christine Todd Whitman,The Hon. Christine Todd Whitman
e200,Kent State University,Ohio State University,Undirected,1,1999,Jeanette G. Grasselli Brown,Jeanette G. Grasselli Brown
e201,Ohio State University,Ohio University,Undirected,1,1999,Jeanette G. Grasselli Brown,Jeanette G. Grasselli Brown
e202,Ohio State University,University Of Akron,Undirected,1,1999,Jeanette G. Grasselli Brown,Jeanette G. Grasselli Brown
e203,Ohio State University,University Of Cincinnati,Undirected,1,1999,Jeanette G. Grasselli Brown,Jeanette G. Grasselli Brown
e204,Kent State University,Ohio State University,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e205,Ohio State University,Ohio University,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e206,Ohio State University,University Of Akron,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e207,Ohio State University,University Of Cincinnati,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e208,Cleveland State University,Ohio State University,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e209,Kent State University,Ohio State University,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e210,Ohio State University,Ohio University,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e211,Ohio State University,University Of Akron,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e212,Ohio State University,University Of Cincinnati,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e213,Cleveland State University,Ohio State University,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e214,Kent State University,Ohio State University,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e215,Ohio State University,Ohio University,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e216,Ohio State University,University Of Akron,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e217,Ohio State University,University Of Cincinnati,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e218,Cleveland State University,Ohio State University,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e219,Catholic University Of America,Seton Hall University,Undirected,1,1999,Most Rev. Theodore E. McCarrick,Most Rev. Theodore E. McCarrick
e220,Kent State University,University Of Toledo,Undirected,1,1999,Jeanette G. Grasselli Brown,Jeanette G. Grasselli Brown
e221,Ohio University,University Of Toledo,Undirected,1,1999,Jeanette G. Grasselli Brown,Jeanette G. Grasselli Brown
e222,University Of Akron,University Of Toledo,Undirected,1,1999,Jeanette G. Grasselli Brown,Jeanette G. Grasselli Brown
e223,University Of Cincinnati,University Of Toledo,Undirected,1,1999,Jeanette G. Grasselli Brown,Jeanette G. Grasselli Brown
e224,Ohio State University,University Of Toledo,Undirected,1,1999,Jeanette G. Grasselli Brown,Jeanette G. Grasselli Brown
e225,Kent State University,University Of Toledo,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e226,Ohio University,University Of Toledo,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e227,University Of Akron,University Of Toledo,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e228,University Of Cincinnati,University Of Toledo,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e229,Cleveland State University,University Of Toledo,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e230,Ohio State University,University Of Toledo,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e231,Kent State University,University Of Toledo,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e232,Ohio University,University Of Toledo,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e233,University Of Akron,University Of Toledo,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e234,University Of Cincinnati,University Of Toledo,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e235,Cleveland State University,University Of Toledo,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e236,Ohio State University,University Of Toledo,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e237,Kent State University,University Of Toledo,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e238,Ohio University,University Of Toledo,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e239,University Of Akron,University Of Toledo,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e240,University Of Cincinnati,University Of Toledo,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e241,Cleveland State University,University Of Toledo,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e242,Ohio State University,University Of Toledo,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e243,Kent State University,University Of Toledo,Undirected,1,1999,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr."
e244,Ohio University,University Of Toledo,Undirected,1,1999,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr."
e245,University Of Akron,University Of Toledo,Undirected,1,1999,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr."
e246,University Of Cincinnati,University Of Toledo,Undirected,1,1999,"Tahlman Krumm, Jr","Tahlman Krumm, Jr."
e247,Cleveland State University,University Of Toledo,Undirected,1,1999,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr."
e248,Kent State University,University Of Toledo,Undirected,1,1999,Elizabeth K. Lanier,Elizabeth K. Lanier
e249,Ohio University,University Of Toledo,Undirected,1,1999,Elizabeth K. Lanier,Elizabeth K. Lanier
e250,University Of Akron,University Of Toledo,Undirected,1,1999,Elizabeth K. Lanier,Elizabeth K. Lanier
e251,University Of Cincinnati,University Of Toledo,Undirected,1,1999,Elizabeth K. Lanier,Elizabeth K. Lanier
e252,Cleveland State University,University Of Toledo,Undirected,1,1999,Elizabeth K. Lanier,Elizabeth K. Lanier
