Institution,AffiliationId,eigenvector,betweenness,degree,strength,clustering,Year
St Johns University,142823887.0,1.716662816897295e-06,0.023912595341166767,2.0,0.0282945736434107,0.0,1999
Stanford University,97018004.0,,,,,,1999
State University System of Florida,2801649442.0,1.585290889798372e-06,0.015873015873015872,2.0,0.0396825396825396,0.0,1999
State University of New York,1327163397.0,1.2091956751487677e-06,0.00020614306328592042,2.0,0.030844155844155702,0.0,1999
State University of New York System,1327163397.0,1.2091956751487677e-06,0.00020614306328592042,2.0,0.030844155844155702,0.0,1999
State University of New York at Albany,392282.0,1.2091956751487677e-06,0.00020614306328592042,2.0,0.030844155844155702,0.0,1999
State University of New York at Binghamton,123946342.0,1.2091956751487677e-06,0.00020614306328592042,2.0,0.030844155844155702,0.0,1999
State University of New York at Buffalo,63190737.0,1.2091956751487677e-06,0.00020614306328592042,2.0,0.030844155844155702,0.0,1999
State University of New York at Stony Brook,59553526.0,1.2091956751487677e-06,0.00020614306328592042,2.0,0.030844155844155702,0.0,1999
"State University of New York, Stony Brook",59553526.0,1.2091956751487677e-06,0.00020614306328592042,2.0,0.030844155844155702,0.0,1999
Stony Brook University,59553526.0,1.2091956751487677e-06,0.00020614306328592042,2.0,0.030844155844155702,0.0,1999
"Stony Brook University, State University of New York",59553526.0,1.2091956751487677e-06,0.00020614306328592042,2.0,0.030844155844155702,0.0,1999
Syracuse University,70983195.0,6.576742613457646e-06,0.00041228612657184083,3.0,0.0821548821548821,0.025760414683616322,1999
Tarleton State University,75063564.0,7.252766043244199e-06,0.0,2.0,0.0809523809523809,0.07728124405084896,1999
Temple University,84392919.0,3.009064631652655e-06,0.04638218923933209,3.0,0.048651145697559,0.010318360107406109,1999
Tennessee State University,75256744.0,1.904836048176263e-06,0.00020614306328592042,2.0,0.0483036227717078,0.0,1999
Tennessee Technological University,63920570.0,1.904836048176263e-06,0.00020614306328592042,2.0,0.0483036227717078,0.0,1999
Texas A&M University,91045830.0,7.252766043244199e-06,0.0,2.0,0.0809523809523809,0.07728124405084896,1999
Texas A&M University College Station,91045830.0,7.252766043244199e-06,0.0,2.0,0.0809523809523809,0.07728124405084896,1999
Texas A&M University Commerce,206651237.0,7.252766043244199e-06,0.0,2.0,0.0809523809523809,0.07728124405084896,1999
Texas A&M University Corpus Christi,96749437.0,7.252766043244199e-06,0.0,2.0,0.0809523809523809,0.07728124405084896,1999
Texas A&M University Galveston,164185940.0,7.252766043244199e-06,0.0,2.0,0.0809523809523809,0.07728124405084896,1999
Texas A&M University Kingsville,181414168.0,7.252766043244199e-06,0.0,2.0,0.0809523809523809,0.07728124405084896,1999
Texas A&M University System,173268674.0,7.252766043244199e-06,0.0,2.0,0.0809523809523809,0.07728124405084896,1999
Texas A&M University at Galveston,164185940.0,7.252766043244199e-06,0.0,2.0,0.0809523809523809,0.07728124405084896,1999
Texas A&M University-College Station,91045830.0,7.252766043244199e-06,0.0,2.0,0.0809523809523809,0.07728124405084896,1999
Texas A&M University-Commerce,206651237.0,7.252766043244199e-06,0.0,2.0,0.0809523809523809,0.07728124405084896,1999
Texas A&M University-Corpus Christi,96749437.0,7.252766043244199e-06,0.0,2.0,0.0809523809523809,0.07728124405084896,1999
Texas A&M University-Kingsville,181414168.0,7.252766043244199e-06,0.0,2.0,0.0809523809523809,0.07728124405084896,1999
Texas Christian University,128956969.0,8.987268132721218e-07,0.0,1.0,0.0080645161290322,0.0,1999
Texas State University,13511017.0,,,,,,1999
Texas State University San Marcos,13511017.0,,,,,,1999
Texas State University System,2801273398.0,,,,,,1999
Texas State University-San Marcos,13511017.0,,,,,,1999
Texas Tech University,12315562.0,1.2734049969752332e-06,0.0,2.0,0.0255162241887904,0.020901228045600656,1999
Texas Tech University Health Sciences Center,926076166.0,1.2734049969752332e-06,0.0,2.0,0.0255162241887904,0.020901228045600656,1999
Texas Tech University System,4210088475.0,1.2734049969752332e-06,0.0,2.0,0.0255162241887904,0.020901228045600656,1999
Texas Woman's University,150913223.0,,,,,,1999
The Catholic University of America,84470341.0,1.5277238907767443e-06,0.08328179756751185,2.0,0.0253164556962024,0.0,1999
The George Washington University,193531525.0,1.5068198098637651e-06,0.035868893011750155,2.0,0.0237499999999999,0.0,1999
The Ohio State University,52357470.0,8.132290055025769e-07,0.015873015873015872,2.0,0.0144995080524053,0.0,1999
The University of Texas Health Science Center at San Antonio,165951966.0,,,,,,1999
Tufts University,121934306.0,2.589296358458685e-06,0.038342609771181195,4.0,0.056212053601611606,0.0,1999
Universitv of Alabama Tuscaloosa,17301866.0,7.859686310664272e-06,0.00020614306328592042,2.0,0.0642857142857142,0.08580376467210322,1999
University System of Georgia,1289702989.0,3.8835975198890275e-06,0.0,1.0,0.0454545454545454,0.0,1999
University System of New Hampshire,2800453862.0,1.35738074249578e-06,0.0,1.0,0.0256410256410256,0.0,1999
University System of Ohio,2802096936.0,8.132290055025769e-07,0.015873015873015872,2.0,0.0144995080524053,0.0,1999
University and Community College System of Nevada,68260882.0,1.301675135061286e-06,0.0,1.0,0.0227272727272727,0.0,1999
University at Albany,392282.0,1.2091956751487677e-06,0.00020614306328592042,2.0,0.030844155844155702,0.0,1999
