Id,Label,Interlock_Count,AffiliationId,Board_Size
Florida Agricultural and Mechanical University,Florida Agricultural and Mechanical University,0,8248082,16
Florida Atlantic University,Florida Atlantic University,0,63772739,16
Florida Institute Of Technology,Florida Institute Of Technology,0,106959904,27
Fordham University,Fordham University,2,164389053,37
George Mason University,George Mason University,0,162714631,14
George Washington University,George Washington University,1,193531525,44
Georgetown University,Georgetown University,4,184565670,35
Georgia Institute of Technology,Georgia Institute of Technology,2,130701444,16
Georgia Southern University,Georgia Southern University,2,39815113,16
Georgia State University,Georgia State University,2,181565077,16
Harvard University,Harvard University,0,136199984,33
Hofstra University,Hofstra University,2,139290212,32
Howard University,Howard University,1,137853757,19
Illinois Institute Of Technology,Illinois Institute Of Technology,3,180949307,64
Illinois State University,Illinois State University,0,47301684,7
Indiana State University,Indiana State University,0,86420138,8
Indiana University of Pennsylvania,Indiana University of Pennsylvania,0,200885203,12
James Madison University,James Madison University,0,11883440,17
Johns Hopkins University,Johns Hopkins University,3,145311948,66
Kennesaw State University,Kennesaw State University,2,172980758,16
Kent State University,Kent State University,0,149910238,21
Lehigh University,Lehigh University,1,186143895,38
Loma Linda University,Loma Linda University,2,26347476,24
Long Island University,Long Island University,0,138873065,139
Louisiana Tech University,Louisiana Tech University,0,919208787,30
Loyola Marymount University,Loyola Marymount University,3,35566140,86
Loyola University Chicago,Loyola University Chicago,5,1925986,31
Marquette University,Marquette University,4,102461120,41
Marshall University,Marshall University,12,88694374,18
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,4,63966007,58
Mercer University,Mercer University,0,150149174,44
Michigan State University,Michigan State University,0,87216513,12
Michigan Technological University,Michigan Technological University,0,11957088,4
Mississippi State University,Mississippi State University,0,99041443,11
Montclair State University,Montclair State University,0,166088655,13
New Jersey Institute Of Technology,New Jersey Institute Of Technology,2,118118575,66
New School,New School,2,102179633,43
New York University,New York University,6,57206974,88
North Carolina Agricultural and Technical State University,North Carolina Agricultural and Technical State University,0,35777872,14
North Carolina State University,North Carolina State University,0,137902535,14
North Dakota State University,North Dakota State University,0,57328836,8
North Dakota University,North Dakota University,0,24571045,16
Northern Illinois University,Northern Illinois University,0,102502594,7
Nova Southeastern University,Nova Southeastern University,0,203088144,30
Oakland University,Oakland University,0,177721651,7
Ohio State University,Ohio State University,1,52357470,21
Ohio University,Ohio University,0,4210106879,25
Old Dominion University,Old Dominion University,0,81365321,17
Pace University,Pace University,0,126863827,34
Pennsylvania State University,Pennsylvania State University,3,130769515,40
Princeton University,Princeton University,0,20089843,40
Purdue University,Purdue University,0,219193219,8
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,2,165799507,33
Rice University,Rice University,1,74775410,18
Rochester Institute Of Technology,Rochester Institute Of Technology,0,155173764,52
Rowan University,Rowan University,0,44265643,14
Rutgers State University Of New Jersey,Rutgers State University Of New Jersey,0,102322142,82
San Diego State University,San Diego State University,30,26538001,23
San Francisco State University,San Francisco State University,30,71838634,23
Seton Hall University,Seton Hall University,3,12524447,51
Southern Illinois University System,Southern Illinois University System,0,2801502357,9
Southwest Texas State University,Southwest Texas State University,0,13511017,44
St Johns University,St Johns University,0,142823887,29
Stanford University,Stanford University,1,97018004,35
State University of New York at Binghamton,State University of New York at Binghamton,0,123946342,8
State University of New York at Buffalo,State University of New York at Buffalo,0,63190737,5
"State University of New York, Stony Brook","State University of New York, Stony Brook",0,59553526,9
Syracuse University,Syracuse University,0,70983195,22
Tarleton State University,Tarleton State University,0,75063564,9
Temple University,Temple University,2,84392919,45
Texas A&M University College Station,Texas A&M University College Station,0,91045830,27
Texas A&M University Commerce,Texas A&M University Commerce,0,206651237,18
Texas A&M University Corpus Christi,Texas A&M University Corpus Christi,0,96749437,18
Texas A&M University Galveston,Texas A&M University Galveston,0,164185940,18
Texas A&M University Kingsville,Texas A&M University Kingsville,0,181414168,18
Texas Christian University,Texas Christian University,0,128956969,47
Texas Tech University,Texas Tech University,0,12315562,11
Texas Womans University,Texas Womans University,0,150913223,9
Tufts University,Tufts University,3,121934306,37
Universitv of Alabama Tuscaloosa,Universitv of Alabama Tuscaloosa,2,17301866,60
State University of New York at Albany,State University of New York at Albany,0,392282,10
University Of Akron,University Of Akron,0,110152177,19
University Of Chicago,University Of Chicago,4,40347166,50
University Of Cincinnati,University Of Cincinnati,0,63135867,21
University Of Connecticut,University Of Connecticut,3,140172145,18
University Of Dayton,University Of Dayton,1,127591826,35
University Of Delaware,University Of Delaware,2,86501945,33
University Of Hartford,University Of Hartford,0,162281398,57
University Of Kentucky,University Of Kentucky,0,143302722,19
University Of La Verne,University Of La Verne,0,708430,37
University Of Louisville,University Of Louisville,0,142740786,20
University Of Michigan,University Of Michigan,0,27837315,8
University Of New Mexico,University Of New Mexico,0,169521973,11
University of North Carolina at Charlotte,University of North Carolina at Charlotte,0,102149020,14
University of North Carolina at Greensboro,University of North Carolina at Greensboro,1,169335092,14
University of North Carolina at Wilmington,University of North Carolina at Wilmington,0,153901656,16
University of North Texas,University of North Texas,0,123534392,9
University Of Northern Colorado,University Of Northern Colorado,0,71966907,8
University Of Notre Dame,University Of Notre Dame,4,107639228,58
University Of Pacific,University Of Pacific,0,119942576,24
University Of Pittsburgh,University Of Pittsburgh,7,170201317,52
University Of Rhode Island,University Of Rhode Island,1,17626003,16
University Of San Diego,University Of San Diego,1,160856358,36
University Of South Alabama,University Of South Alabama,3,83809506,24
University Of South Carolina,University Of South Carolina,0,155781252,23
University Of Southern California,University Of Southern California,1,1174212,45
University of Southern Mississippi,University of Southern Mississippi,0,44854399,11
University Of St Thomas Minnesota,University Of St Thomas Minnesota,2,161515732,44
University of Texas at Austin,University of Texas at Austin,0,86519309,10
University of Texas at Brownsville/Texas Southmost College,University of Texas at Brownsville/Texas Southmost College,0,2802326326,7
University Of Toledo,University Of Toledo,0,90871651,21
University Of Tulsa,University Of Tulsa,1,87208437,36
University Of Vermont,University Of Vermont,0,111236770,26
University Of Virginia,University Of Virginia,0,51556381,18
University Of Washington,University Of Washington,0,201448701,8
University Of Wyoming,University Of Wyoming,0,12834331,15
University of Alaska Fairbanks,University of Alaska Fairbanks,0,141472210,12
University of Arkansas,University of Arkansas,0,78715868,42
University of Arkansas at Little Rock,University of Arkansas at Little Rock,0,102401767,14
University of Arkansas for Medical Sciences,University of Arkansas for Medical Sciences,0,79620101,14
University of California Berkeley,University of California Berkeley,21,95457486,64
University of California Davis,University of California Davis,21,84218800,64
University of California Irvine,University of California Irvine,21,204250578,64
University of California Los Angeles,University of California Los Angeles,21,161318765,64
University of California Merced,University of California Merced,21,156087764,64
University of California Riverside,University of California Riverside,21,103635307,64
University of California San Diego,University of California San Diego,21,36258959,64
"University of California, San Francisco","University of California, San Francisco",21,180670191,32
"University of California, Santa Barbara","University of California, Santa Barbara",21,154570441,32
"University of California, Santa Cruz","University of California, Santa Cruz",21,185103710,32
University of Central Florida,University of Central Florida,0,106165777,16
University of Colorado Health Sciences Center,University of Colorado Health Sciences Center,0,921990950,44
University of Colorado at Boulder,University of Colorado at Boulder,0,188538660,22
University of Colorado at Colorado Springs,University of Colorado at Colorado Springs,0,888729015,22
University of Florida,University of Florida,0,33213144,16
University of Georgia,University of Georgia,2,165733156,16
University of Hawaii Manoa,University of Hawaii Manoa,0,117965899,24
University of Houston,University of Houston,0,44461941,9
University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,0,157725225,18
University of Louisiana,University of Louisiana,0,79516672,120
University of Maine Orono,University of Maine Orono,0,7947594,48
University of Massachusetts at Worcester,University of Massachusetts at Worcester,0,166722992,72
University of Missouri St Louis,University of Missouri St Louis,0,208333798,24
University of Nebraska Lincoln,University of Nebraska Lincoln,0,114395901,36
University of Nebraska Medical Center,University of Nebraska Medical Center,0,59130452,12
University of Nebraska at Omaha,University of Nebraska at Omaha,0,122266389,24
"University of Nevada, Reno","University of Nevada, Reno",0,134113660,22
University of New Hampshire Durham,University of New Hampshire Durham,1,161057412,48
University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,0,114027177,33
University of North Florida,University of North Florida,0,11874761,16
University of South Florida,University of South Florida,0,2613432,16
University of Tennessee Health Science Center,University of Tennessee Health Science Center,0,160606119,76
University of Tennessee at Knoxville,University of Tennessee at Knoxville,0,75027704,38
University of Texas Health Science Center at Houston,University of Texas Health Science Center at Houston,0,919571938,10
University of Texas Health Science Center at San Antonio,University of Texas Health Science Center at San Antonio,0,165951966,20
University of Texas Medical Branch at Galveston,University of Texas Medical Branch at Galveston,0,55302922,10
University of Texas Southwestern Medical Center at Dallas,University of Texas Southwestern Medical Center at Dallas,0,4210094379,20
University of Texas at Arlington,University of Texas at Arlington,0,189196454,10
University of Texas at Dallas,University of Texas at Dallas,0,162577319,10
University of Texas at EI Paso,University of Texas at EI Paso,0,164936912,20
University of Texas at San Antonio,University of Texas at San Antonio,0,45438204,10
University of Texas at Tyler,University of Texas at Tyler,0,221716585,10
University of Wisconsin Madison,University of Wisconsin Madison,0,135310074,28
University of Wisconsin Milwaukee,University of Wisconsin Milwaukee,0,43579087,28
Vanderbilt University,Vanderbilt University,0,200719446,57
Villanova University,Villanova University,1,7863295,27
Virginia Commonwealth University,Virginia Commonwealth University,0,184840846,15
Virginia Polytechnic Institute And State University,Virginia Polytechnic Institute And State University,0,859038795,14
Wake Forest University,Wake Forest University,0,47251452,50
Washington State University,Washington State University,0,72951846,11
Washington University,Washington University,0,204465549,48
West Chester University of Pennsylvania,West Chester University of Pennsylvania,0,161171246,11
West Virginia University,West Virginia University,12,12097938,17
Western Michigan University,Western Michigan University,0,141649380,8
Widener University,Widener University,0,138659443,27
Worcester Polytechnic Institute,Worcester Polytechnic Institute,1,107077323,43
Wright State University,Wright State University,0,19648265,11
Yale University,Yale University,2,32971472,18
Yeshiva University,Yeshiva University,4,19772626,102
Adelphi University,Adelphi University,0,71965598,25
American University,American University,0,181401687,25
Andrews University,Andrews University,5,102298084,33
Auburn University,Auburn University,2,82497590,33
Ball State University,Ball State University,0,198089087,8
Baylor University,Baylor University,0,157394403,36
Biola University,Biola University,0,152479009,26
Boston College,Boston College,4,103531236,46
Boston University,Boston University,0,111088046,40
Bowling Green State University,Bowling Green State University,0,157417397,11
Brandeis University,Brandeis University,0,6902469,56
Brown University,Brown University,1,27804330,60
California State University Fresno,California State University Fresno,40,67328108,54
California State University Fullerton,California State University Fullerton,40,142934699,81
California State University Hayward,California State University Hayward,40,184813773,27
California State University Long Beach,California State University Long Beach,40,59897056,54
California State University San Bernardino,California State University San Bernardino,40,43369023,54
Carnegie Mellon University,Carnegie Mellon University,4,74973139,100
Case Western Reserve University,Case Western Reserve University,0,58956616,43
Catholic University Of America,Catholic University Of America,0,84470341,47
Central Michigan University,Central Michigan University,0,1629065,10
Chapman University,Chapman University,0,185071736,48
Clark Atlanta University,Clark Atlanta University,5,52064589,35
