Year,Institution,AffiliationId,female_president,PrimarySample,total_members,male,female,unknown,total_ethnicity,white,poc,unknown_eth,board_turnover,male_change,female_change,unknown_change,white_change,poc_change,unknown_eth_change,StateSystem,carnegie_id_x,region,num_billionaires,betweenness,closeness,eigenvector,degree,strength,clustering,carnegie_id_y,year_x,admissions.admission_rate.overall,year_y,student.demographics.age_entry,student.demographics.female_share,student.demographics.married,student.demographics.dependent,student.demographics.avg_family_income,student.students_with_pell_grant,student.demographics.poverty_rate,student.demographics.unemployment,student.demographics.men,student.demographics.women,student.demographics.share_white.home_ZIP,student.demographics.share_black.home_ZIP,student.demographics.share_asian.home_ZIP,student.demographics.share_hispanic.home_ZIP,student.demographics.share_bachelors_degree_age25.home_ZIP,student.demographics.share_professional_degree_age25.home_ZIP,student.demographics.share_born_US.home_ZIP,student.demographics.faculty.women,carnegie_id,state,control
1999,Loma Linda University,26347476.0,True,True,25,20,5,0,11,8,3,0,0.0,0,0,0,0,0,0,False,117636.0,West,1,0.0,0.0054347826086956,2.369803962910315e-62,1.0,0.0344827586206896,0.0,,,,,,,,,,,,,,,,,,,,,,,117636.0,CA,Private
1999,Long Island University,138873065.0,False,True,130,55,10,0,75,37,1,0,0.0,0,0,0,0,0,0,False,192448.0,Northeast,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,192448.0,NY,Private
1999,Louisiana State University System,107341208.0,False,False,16,11,4,1,10,10,0,0,0.0,0,0,0,0,0,0,False,,South,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Loyola Marymount University,35566140.0,False,True,52,21,4,2,40,17,4,0,0.0,0,0,0,0,0,0,False,117946.0,West,0,0.0,0.0332213438735177,3.999168741070195e-60,1.0,0.0108695652173913,0.0,,,,,,,,,,,,,,,,,,,,,,,117946.0,CA,Private
1999,Loyola University Chicago,1925986.0,False,True,4,2,1,1,1,1,0,0,0.0,0,0,0,0,0,0,False,146719.0,Midwest,0,0.0,0.0382253956703656,6.629225202860373e-63,1.0,0.0161290322580645,0.0,,,,,,,,,,,,,,,,,,,,,,,146719.0,IL,Private
1999,Marquette University,102461120.0,False,True,38,33,4,1,17,17,0,0,0.0,0,0,0,0,0,0,False,239105.0,Midwest,0,0.0175219767165597,0.0605024474517708,2.9064887097056985e-62,3.0,0.0406644949848031,0.0,,,,,,,,,,,,,,,,,,,,,,,239105.0,WI,Private
1999,Marshall University,88694374.0,False,True,17,12,5,0,6,6,0,0,0.0,0,0,0,0,0,0,False,237525.0,South,0,0.0,0.0054347826086956,2.864169130906598e-29,1.0,0.7894736842105263,0.0,,,,,,,,,,,,,,,,,,,,,,,237525.0,WV,Public
1999,Massachusetts Institute Of Technology,63966007.0,False,True,56,42,13,1,35,32,3,0,0.0,0,0,0,0,0,0,False,166683.0,Northeast,1,0.0087906866239011,0.0553689064558629,2.032754041644549e-62,3.0,0.0269464630495245,0.0,,,,,,,,,,,,,,,,,,,,,,,166683.0,MA,Private
1999,Mercer University,150149174.0,False,True,45,39,5,1,15,15,0,0,0.0,0,0,0,0,0,0,False,140447.0,South,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,140447.0,GA,Private
1999,Michigan State University,87216513.0,False,True,12,7,5,0,6,5,1,0,0.0,0,0,0,0,0,0,False,171100.0,Midwest,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,171100.0,MI,Public
