Source,Target,Type,Weight,Year
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
Cornell University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
University Of Chicago,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
Cornell University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
New School University,New School,Undirected,1,2007
University Of Pennsylvania,New York University,Undirected,1,2007
New School University,New York University,Undirected,1,2007
New School,New York University,Undirected,1,2007
Cornell University,New York University,Undirected,1,2007
Georgetown University,New York University,Undirected,1,2007
University Of Connecticut,New York University,Undirected,1,2007
Georgetown University,New York University,Undirected,1,2007
University Of Connecticut,New York University,Undirected,1,2007
Georgetown University,New York University,Undirected,1,2007
Columbia University,New York University,Undirected,1,2007
University Of Arizona,Northern Arizona University,Undirected,1,2007
Arizona State University,Northern Arizona University,Undirected,1,2007
University Of Arizona,Northern Arizona University,Undirected,1,2007
Arizona State University,Northern Arizona University,Undirected,1,2007
University Of Arizona,Northern Arizona University,Undirected,1,2007
Arizona State University,Northern Arizona University,Undirected,1,2007
University Of Arizona,Northern Arizona University,Undirected,1,2007
Arizona State University,Northern Arizona University,Undirected,1,2007
University Of Arizona,Northern Arizona University,Undirected,1,2007
Arizona State University,Northern Arizona University,Undirected,1,2007
University Of Miami,Nova Southeastern University,Undirected,1,2007
University Of Oklahoma,Oklahoma State University,Undirected,1,2007
University Of Oklahoma,Oklahoma State University,Undirected,1,2007
University Of Oklahoma,Oklahoma State University,Undirected,1,2007
University Of Oklahoma,Oklahoma State University,Undirected,1,2007
University Of Pennsylvania,Pennsylvania State University,Undirected,1,2007
University Of Pittsburgh,Pennsylvania State University,Undirected,1,2007
Temple University,Pennsylvania State University,Undirected,1,2007
Clarkson University,Polytechnic University,Undirected,1,2007
University Of Chicago,Princeton University,Undirected,1,2007
Rockefeller University,Princeton University,Undirected,1,2007
University Of Chicago,Princeton University,Undirected,1,2007
Carnegie Mellon University,Princeton University,Undirected,1,2007
