Source,Target,Type,Weight,Year
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee State University,Undirected,1,2000
East Tennessee State University,Tennessee State University,Undirected,1,2000
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2000
Tennessee State University,Tennessee Technological University,Undirected,1,2000
East Tennessee State University,Tennessee Technological University,Undirected,1,2000
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2000
Tennessee State University,Tennessee Technological University,Undirected,1,2000
East Tennessee State University,Tennessee Technological University,Undirected,1,2000
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2000
Tennessee State University,Tennessee Technological University,Undirected,1,2000
East Tennessee State University,Tennessee Technological University,Undirected,1,2000
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2000
Tennessee State University,Tennessee Technological University,Undirected,1,2000
East Tennessee State University,Tennessee Technological University,Undirected,1,2000
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2000
Tennessee State University,Tennessee Technological University,Undirected,1,2000
East Tennessee State University,Tennessee Technological University,Undirected,1,2000
Tennessee State University,Tennessee Technological University,Undirected,1,2000
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2000
Tennessee State University,Tennessee Technological University,Undirected,1,2000
East Tennessee State University,Tennessee Technological University,Undirected,1,2000
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2000
Tennessee State University,Tennessee Technological University,Undirected,1,2000
East Tennessee State University,Tennessee Technological University,Undirected,1,2000
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2000
Tennessee State University,Tennessee Technological University,Undirected,1,2000
East Tennessee State University,Tennessee Technological University,Undirected,1,2000
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2000
Tennessee State University,Tennessee Technological University,Undirected,1,2000
East Tennessee State University,Tennessee Technological University,Undirected,1,2000
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2000
Tennessee State University,Tennessee Technological University,Undirected,1,2000
East Tennessee State University,Tennessee Technological University,Undirected,1,2000
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2000
Tennessee State University,Tennessee Technological University,Undirected,1,2000
East Tennessee State University,Tennessee Technological University,Undirected,1,2000
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2000
Tennessee State University,Tennessee Technological University,Undirected,1,2000
East Tennessee State University,Tennessee Technological University,Undirected,1,2000
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2000
Tennessee State University,Tennessee Technological University,Undirected,1,2000
East Tennessee State University,Tennessee Technological University,Undirected,1,2000
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2000
Tennessee State University,Tennessee Technological University,Undirected,1,2000
East Tennessee State University,Tennessee Technological University,Undirected,1,2000
Brown University,Tufts University,Undirected,1,2000
Kent State University,University Of Akron,Undirected,1,2000
Cleveland State University,University Of Akron,Undirected,1,2000
Kent State University,University Of Akron,Undirected,1,2000
Cleveland State University,University Of Akron,Undirected,1,2000
Kent State University,University Of Akron,Undirected,1,2000
Kent State University,University Of Akron,Undirected,1,2000
Cleveland State University,University Of Akron,Undirected,1,2000
Kent State University,University Of Akron,Undirected,1,2000
Kent State University,University Of Akron,Undirected,1,2000
