Year,Name,Position,Institution,SubInstitution,Education,AffiliationId,carnegie_id,level_0,index,FixedPosition,PrimarySample,StateSystem
2011,Virginia N. Thompson,Third Congressional District Trustee,Auburn University,,Auburn 1978,82497590.0,100858.0,,,Trustee,True,
2011,D. Gaines Lanier,Fifth Congressional District Trustee,Auburn University,,Auburn 1974 BS,82497590.0,100858.0,,,Trustee,True,
2011,Dwight L. Carlisle,Fourth Congressional District Trustee,Auburn University,,Auburn 1958 BS,82497590.0,100858.0,,,Trustee,True,
2011,John G. Blackwell,Eighth Congressional District Trustee,Auburn University,,Auburn 1964 BS,82497590.0,100858.0,,,Trustee,True,
2011,Nicole M. Vauter,Student Trustee,Ball State University,,,198089087.0,150136.0,,,Trustee,True,
2011,Barbara Phillips,Trustee,Ball State University,,Ball State,198089087.0,150136.0,,,Trustee,True,
2011,Matt Momper,Trustee,Ball State University,,Ball State 1983 BS; Drake 1984 MBA,198089087.0,150136.0,,,Trustee,True,
2011,Hollis E. Hughes,Secretary,Ball State University,,,198089087.0,150136.0,,,Other Board Member,True,
2011,Frank Hancock,Trustee,Ball State University,,Ball State 1970,198089087.0,150136.0,,,Trustee,True,
2011,Richard J. Hall,Trustee,Ball State University,,Ball State 1989 BS; Northwestern 1992 JD,198089087.0,150136.0,,,Trustee,True,
2011,Marianne Glick,Trustee,Ball State University,,Butler,198089087.0,150136.0,,,Trustee,True,
2011,Frank A. Bracken,Vice President,Ball State University,,,198089087.0,150136.0,,,Board Vice President,True,
2011,Thomas L. DeWeese,President,Ball State University,,"Ball State 1968 BB, 1969",198089087.0,150136.0,,,Board President,True,
2011,Rev. Duane Brooks,Regent,Baylor University,,,157394403.0,223232.0,,,Regent,True,
2011,R. Dary Stone,Regent,Baylor University,,,157394403.0,223232.0,,,Regent,True,
2011,Ronald L. Wilson,Regent,Baylor University,,,157394403.0,223232.0,,,Regent,True,
2011,Richard S. Willis,Regent,Baylor University,,,157394403.0,223232.0,,,Regent,True,
2011,Philip W. Stewart,Regent,Baylor University,,,157394403.0,223232.0,,,Regent,True,
2011,"William K. Robbins, Jr",Regent,Baylor University,,,157394403.0,223232.0,,,Regent,True,
2011,John C. Reimers,Regent,Baylor University,,,157394403.0,223232.0,,,Regent,True,
2011,Jeffrey D. Reeter,Regent,Baylor University,,,157394403.0,223232.0,,,Regent,True,
2011,"Ronald Dean ""Ron"" Murff, CPA",Regent,Baylor University,,Baylor BBA,157394403.0,223232.0,,,Regent,True,
2011,"Neal T. ""Buddy"" Jones",Regent,Baylor University,,"Baylor BA, JD",157394403.0,223232.0,,,Regent,True,
2011,David H. Harper,Regent,Baylor University,,Baylor 1988 BBA; Harvard 1991 JD,157394403.0,223232.0,,,Regent,True,
2011,"Ramiro Pena, Jr",Regent,Baylor University,,,157394403.0,223232.0,,,Regent,True,
2011,Rev. Bobby Charles Dagnel,Regent,Baylor University,,,157394403.0,223232.0,,,Regent,True,
2011,Stan Allcorn,Regent,Baylor University,,,157394403.0,223232.0,,,Regent,True,
2011,Gary D. Elliston,Regent,Baylor University,,,157394403.0,223232.0,,,Regent,True,
2011,"Robert E. ""Bob"" Beauchamp",Regent,Baylor University,,Texas 1982 BBA; Houston Baptist 1987 MS,157394403.0,223232.0,,,Regent,True,
2011,"Albert C. Black, Jr",Regent,Baylor University,,,157394403.0,223232.0,,,Regent,True,
2011,Wes Bailey,Regent,Baylor University,,,157394403.0,223232.0,,,Regent,True,
2011,Stephen Carmack,Regent,Baylor University,,,157394403.0,223232.0,,,Regent,True,
2011,Harold R. Cunningham,Regent,Baylor University,,Baylor 1956 BBA,157394403.0,223232.0,,,Regent,True,
2011,Linda Jean Brian,Regent,Baylor University,,,157394403.0,223232.0,,,Regent,True,
2011,Edgar R. Lehman,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,Carol Lindskog,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,Rev. Bryan Loritts,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,Wayne Lowell,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,Al Miiares,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,David Mitchell,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,"Gorden Romberger, CPA",Trustee,Biola University,,Wheaton (IL),152479009.0,110097.0,,,Trustee,True,
2011,Jerry Reub,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,Hudson Saffell,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,John Siefker,Chair,Biola University,,,152479009.0,110097.0,,,Board President,True,
2011,Kennith Thompson,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,"Ronald Rallis, Sr",Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,Hannah Lee,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,David Karnes,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,Ray Johnson,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,Stanley Jantz,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,Carol Hawkins,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,Promod Haque,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,Dwight Hanger,Vice Chair,Biola University,,,152479009.0,110097.0,,,Board Vice President,True,
2011,Barry H. Corey,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,G. Bradley Cole,Trustee,Biola University,,Biola 1978 BS; San Jose State. MBA,152479009.0,110097.0,,,Trustee,True,
2011,Michael Chang,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,Dean Bursch,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,William G. Billard,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,William Bauer,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,"Rosemarie I. ""Rosie"" Avili",Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,Allan Kavalich,Trustee,Biola University,,,152479009.0,110097.0,,,Trustee,True,
2011,"Thomas J. ""T. J."" Maloney",Trustee,Boston College,,Boston Col 1975 BA; Fordham 1979 JD,103531236.0,164924.0,,,Trustee,True,
2011,Juan Alexander Concepcion,Trustee,Boston College,,"Boston Col BA, MEd, MBA, JD",103531236.0,164924.0,,,Trustee,True,
2011,Robert A. Knox,Chairman,Boston College,,,103531236.0,164924.0,,,Board President,True,
2011,Elaine Kirshenbaum,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,"Andrew R. ""Andy"" Lack",Trustee,Boston College,,"Boston U 1974 BA, 1975 MBA",103531236.0,164924.0,,,Trustee,True,
2011,David C. Weinstein,Trustee,Boston College,,Boston U; Boston Col 1975,103531236.0,164924.0,,,Trustee,True,
2011,Richard F. Syron,Trustee,Boston College,,"Boston Col 1966 BS; Tufts 1969 MA, 1971 PhD",103531236.0,164924.0,,,Trustee,True,
2011,Marianne D. Short,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,Eric S. Lander,Trustee,Boston College,,Princeton 1978 BA; Oxford (UK) 1981 PhD,103531236.0,164924.0,,,Trustee,True,
2011,Susan Martinelli Shea,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,Rev. Nicholas A. Sannella,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,"Thomas F. Ryan, Jr",Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,Pierre-Richard Prosper,Trustee,Boston College,,Boston Col 1985 AB; Pepperdine 1989 JD,103531236.0,164924.0,,,Trustee,True,
2011,Richard F. Powers III,Trustee,Boston College,,Boston Col 1967 BS: Columbia 1972 MBA,103531236.0,164924.0,,,Trustee,True,
2011,Paula D. Polito,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,"Rev. Scott R. Pilarz, S.J",Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,"Rev. Bradley M. Schaeffer, S.J",Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,David P. O'Connor,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,Alan M. Leventhal,Trustee,Boston College,,Northwestern 1974 BA; Tuck School 1976 MBA,103531236.0,164924.0,,,Trustee,True,
2011,Carla E. Meyer,Trustee,Boston College,,Boston U 1978,103531236.0,164924.0,,,Trustee,True,
2011,Bishop Peter Weaver,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,Andrea L. Taylor,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,Nina C. Tassler,Trustee,Boston College,,Boston U 1979,103531236.0,164924.0,,,Trustee,True,
2011,Adam W. Sweeting,Faculty Council Chairman and Ex Officio,Boston College,,"Clark U BA; NYU MA, PhD",103531236.0,164924.0,,,"Board President, Ex Officio",True,
2011,Bippy M. Siegal,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,Hugo X. Shong,Trustee,Boston College,,Boston U 1987,103531236.0,164924.0,,,Trustee,True,
2011,"J. Kenneth Menges, Jr.",Trustee,Boston College,,Boston U 1979 BSBA; Harvard 1982 JD,103531236.0,164924.0,,,Trustee,True,
2011,Richard C. Shipley,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,"Richard D. ""Rick"" Reidy",Trustee,Boston College,,Boston U 1982,103531236.0,164924.0,,,Trustee,True,
2011,Allen I. Questrom,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,Stuart W. Pratt,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
